Application ID,Company,Role Title,Location,Date Applied,Source,Resume Version,Salary Min,Salary Max,Status,Response Date,Interview Date,Response Time (Days)
APP0108,Copper Ridge Insurance,Data Analyst,"Charlotte, NC",18-May-2026,Indeed,Resume_C_BusinessFocus,48000,82000,No Response,,,
APP0148,Anchor Insurance Services,Data Analyst,"Minneapolis, MN",07-Jun-2026,Handshake,Resume_A_Analytics,58000,78000,no response,,N/A,
APP0149,Vantage Point Capital,Marketing Data Analyst,"Minneapolis, MN",2026-07-01,LinkedIn,Resume_A_Analytics,,,applied,N/A,N/A,
APP0180,Meridian Data Co,Junior Business Intelligence Analyst,"Dallas, TX",2026-05-29,Handshake,Resume_B_Technical,68000,70000,no response,,N/A,
APP0009,Stonebridge Consulting,Junior Business Intelligence Analyst,"Columbus, OH",27-Jul-2026,Referral,Resume_C_BusinessFocus,60000,75000,Applied,N/A,,
APP0098,Parallax Software,Business Analyst,"Dallas, TX",05/17/2026,ZipRecruiter,Resume_A_Analytics,58000,68000,NO RESPONSE,N/A,,N/A
APP0141,Crestline Insurance,BI Analyst,"Indianapolis, IN",05/27/2026,Company Website,Resume_B_Technical,52000,75000,Applied,N/A,N/A,N/A
APP0032,Stonebridge Consulting,Junior Data Analyst,"Minneapolis, MN",04/30/2026,Referral,Resume_A_Analytics,62000,62000,NO RESPONSE,,N/A,N/A
APP0015,Solstice Software,BI Analyst,"Charlotte, NC",02/03/2026,Glassdoor,Resume_A_Analytics,52000,62000,No Response,,,N/A
APP0006,Skyline Retailers,Data Analyst Intern,"Columbus, OH",07-Jun-2026,Indeed,Resume_C_BusinessFocus,,,applied,,,N/A
APP0040,Sterling Healthcare Group,BI Analyst,"Minneapolis, MN",01-Jul-2026,Handshake,Resume_C_BusinessFocus,,,Rejected,09-Jul-2026,N/A,8
APP0184,Marlin Energy,BI Analyst,"Charlotte, NC",06/01/2026,Handshake,Resume_A_Analytics,52000,78000,applied,N/A,,
APP0142,  Bright Path Media  ,Data Analyst Intern,"Tampa, FL",13-May-2026,LinkedIn,Resume_C_BusinessFocus,65000,68000,applied,,,N/A
